test_id,q1_degree,q2_degree,intersection_count
253,1,1,0
254,2,2,1
259,8,12,1
36691,15,12,1
85110,8,1,0
330188,8,1,0
262,32,27,24
13010,32,28,24
203430,32,33,25
70232,35,33,31
318926,27,33,25
349369,39,33,32
63016,23,33,22
238926,23,33,19
219081,24,33,21
335919,31,33,24
296053,32,33,26
364900,35,33,29
364489,36,33,32
196672,30,33,26
28961,26,33,18
322326,24,33,17
53216,30,33,26
402605,23,33,19
222108,28,33,24
342413,32,35,28
265,1,1,0
271,1,1,0
273,23,25,20
233785,23,25,19
220348,19,25,13
65465,23,25,20
183724,22,25,20
115038,25,25,24
178066,44,25,20
219041,32,25,21
314147,19,25,16
184452,23,32,19
31208,31,32,25
276,2,1,0
279,1,1,0
280,3,1,0
364596,3,1,0
283,1,1,0
295,8,6,3
368597,7,6,3
372684,7,6,3
47197,8,9,6
65319,8,8,5
359392,9,8,7
196319,8,7,5
297,1,1,0
302,2,4,1
306,1,1,0
308,2,1,0
328,3,2,0
332,1,2,0
333,2,1,0
145802,2,1,0
334,1,1,0
339,11,10,8
192507,11,10,9
191701,12,10,8
342,1,2,0
345,1,1,0
353,3,6,0
77355,6,6,1
45972,8,6,2
354,2,1,0
362,1,2,0
368,6,1,0
371,2,1,0
121847,2,1,0
379,1,3,0
158833,2,3,0
325616,3,3,0
388,1,1,0
389,1,1,0
395,1,1,0
400,7,7,6
344295,7,8,6
410,1,2,0
412,2,2,1
358414,2,2,1
415,5,2,1
17403,2,2,1
53547,5,2,1
88162,5,4,1
428,14,11,8
219329,11,11,9
234370,10,11,9
78839,14,13,10
130583,13,13,11
266874,10,13,9
195343,14,2,1
282260,14,10,8
284312,14,8,6
227451,5,8,4
431,1,3,0
437,1,1,0
439,25,38,17
87663,25,68,21
325399,25,68,21
7024,7,68,4
158994,7,68,4
65577,32,68,23
20809,2,68,0
26320,26,68,20
330435,26,68,20
125610,26,68,0
100611,23,68,21
257844,28,68,26
323190,12,68,10
400223,34,68,28
80432,1,68,0
381601,14,68,10
176022,17,68,13
186764,1,68,0
309551,17,68,13
235588,7,68,3
344175,18,68,17
263005,2,68,0
263708,30,68,26
147696,25,24,8
111456,22,24,14
174501,28,24,15
130582,27,24,12
126438,22,24,10
144283,14,24,7
356443,25,34,20
44930,32,34,18
244382,26,34,18
389430,25,24,8
2030,15,24,6
307388,18,24,11
74857,39,24,15
77518,38,24,20
197801,7,24,3
280845,40,24,18
441,1,1,0
444,6,5,0
98519,3,5,2
448,2,1,0
453,1,2,0
454,3,1,0
293655,3,1,0
456,1,2,0
459,2,4,1
98463,1,4,0
332275,2,4,1
460,23,21,20
237530,21,21,18
102302,22,21,20
110165,23,20,19
151594,17,20,16
81831,23,20,19
220001,22,20,19
125492,23,20,19
224575,17,20,16
39694,22,20,19
389290,23,20,19
60863,18,20,14
199084,22,20,19
130834,23,23,22
129798,18,23,17
293928,21,23,20
18480,23,23,22
52747,23,23,22
227894,20,23,19
261968,23,22,21
465,2,1,0
472,3,1,0
475,1,6,0
477,4,1,0
201645,4,1,0
482,1,1,0
486,2,1,0
494,1,1,0
501,1,1,0
511,1,1,0
522,1,1,0
531,1,1,0
536,6,6,5
538,6,8,5
543,1,1,0
554,5,1,0
560,2,2,0
564,18,21,17
328708,18,21,17
120438,19,21,17
199854,19,21,18
378357,17,21,16
568,1,1,0
570,1,1,0
577,1,1,0
578,4,2,0
371050,1,2,0
581,1,1,0
587,1,1,0
590,24,24,22
248194,27,24,23
349521,24,24,23
22078,24,22,21
75695,24,22,20
210100,27,22,20
249933,23,22,21
326873,24,22,20
25325,24,27,22
78597,12,27,8
81622,31,27,26
125495,24,27,23
135363,24,27,22
182277,24,10,6
162008,7,10,1
113802,24,10,6
203177,24,24,22
348814,24,24,22
321608,31,24,22
591,2,5,0
597,2,3,0
357236,2,3,0
599,1,1,0
611,1,1,0
614,3,1,0
625,12,13,11
220024,11,13,9
332341,12,13,11
630,12,12,11
139040,11,12,10
179234,16,12,11
5777,12,16,11
277563,12,11,10
310680,15,11,10
83148,11,11,9
342778,11,11,9
317480,12,18,9
155991,1,18,0
222922,4,18,3
250361,11,18,9
361877,12,11,10
633,1,1,0
635,1,1,0
643,3,1,0
142815,3,2,0
261590,1,2,0
644,28,25,24
93335,50,25,24
243739,51,25,24
205174,55,25,24
119786,23,25,19
379143,20,25,15
94146,28,43,16
11224,48,43,40
356291,21,43,18
23208,30,43,24
247397,49,43,25
332246,50,43,25
203666,28,43,24
53279,27,43,24
84625,31,43,24
209469,17,43,16
153800,28,33,22
57094,25,33,20
137989,36,33,22
319606,28,43,17
387079,34,43,21
193333,33,43,24
190258,29,43,23
50157,23,43,21
348879,55,43,26
90761,24,43,23
392856,51,43,26
259990,43,43,42
363947,40,43,39
338318,28,51,27
142419,50,51,48
40162,8,51,6
40408,29,51,25
184928,28,51,27
202184,36,51,29
352081,14,51,11
648,2,4,1
652,1,1,0
655,3,1,0
300003,3,10,0
114836,18,10,0
660,11,13,10
363094,14,13,10
232524,11,14,9
268508,12,14,10
263203,14,14,12
258582,11,13,9
178980,12,13,10
666,1,1,0
667,2,1,0
668,1,2,0
669,1,2,0
672,1,2,0
675,34,21,15
380062,68,21,16
252690,28,21,12
230501,27,21,15
191772,34,49,20
125201,26,49,20
241983,24,49,20
154358,22,49,17
278356,23,49,17
41844,28,49,20
98256,18,49,16
115463,34,49,21
302301,5,49,2
249559,18,49,14
285312,40,49,36
219746,34,40,23
116306,18,40,8
215645,9,40,7
114351,34,40,24
232799,29,40,17
203211,17,40,13
255831,11,40,8
297749,10,40,7
274615,34,16,12
7604,25,16,10
275925,34,37,23
135217,25,37,21
188477,31,37,22
365009,28,37,20
141803,6,37,2
681,1,1,0
687,1,1,0
710,1,1,0
716,3,2,0
728,4,4,1
362281,4,4,1
732,3,1,0
734,1,1,0
737,3,1,0
741,1,1,0
744,1,1,0
747,2,1,0
749,1,1,0
750,1,1,0
752,1,1,0
756,1,1,0
770,2,1,0
773,11,17,9
12347,17,17,10
318925,11,24,10
776,2,1,0
777,1,2,0
287718,2,2,0
778,1,1,0
779,2,3,1
76448,2,3,1
323610,1,3,0
784,4,11,3
4020,9,11,8
337742,10,11,9
785,2,2,1
97318,2,2,1
788,1,1,0
796,5,4,3
20243,5,4,3
333741,5,5,3
801,1,1,0
802,1,1,0
806,1,2,0
812,4,3,2
813,1,2,0
816,2,1,0
830,5,2,1
176325,5,3,2
832,4,1,0
836,2,3,1
191284,2,2,1
856,9,6,5
99830,9,7,5
52953,10,7,4
173210,9,11,6
189978,10,11,8
101789,6,11,4
174907,9,12,8
859,4,5,1
870,2,3,0
879,1,1,0
890,7,7,6
112354,8,7,6
25041,7,11,6
347870,8,11,7
893,7,8,5
155160,10,8,5
212210,8,8,5
895,1,2,0
897,1,1,0
898,3,3,2
47607,3,4,2
904,1,2,0
910,1,4,0
912,1,1,0
924,1,1,0
927,3,5,0
929,2,1,0
931,1,29,0
937,1,1,0
942,1,1,0
945,50,31,27
33018,42,31,24
70344,32,31,22
71085,26,31,24
118044,30,31,21
21110,50,30,28
305776,36,30,13
152221,41,30,17
370597,9,30,5
137405,50,42,33
368991,45,42,31
357636,47,42,40
216679,42,42,40
161606,50,47,44
250466,43,47,32
28685,42,47,31
131239,42,47,32
132102,26,47,22
166475,50,45,44
321190,39,45,30
95357,46,45,44
214064,42,45,31
301700,50,88,32
359610,41,88,38
53865,2,88,0
237623,47,88,37
64309,46,88,38
94750,6,88,0
322156,4,88,1
164433,41,88,38
218247,1,88,0
282959,3,88,0
323723,9,88,1
349076,2,88,0
336550,50,43,35
948,2,1,0
951,1,1,0
981,1,1,0
984,1,1,0
986,1,3,0
991,25,20,19
254151,22,20,16
3218,25,16,15
192977,33,16,14
6056,25,19,15
50122,31,19,16
187916,46,19,15
226380,24,19,15
369062,26,19,15
35807,25,15,14
314444,33,15,14
246824,25,14,10
132354,6,14,2
992,4,1,0
96834,4,1,0
993,2,2,0
278059,1,2,0
23193,2,1,0
1006,1,1,0
1007,5,3,2
36470,5,4,3
1009,1,1,0
1012,1,2,0
1015,24,35,16
4671,2,35,0
22674,1,35,0
255447,19,35,16
323521,4,35,3
202531,13,35,10
211505,1,35,0
367256,24,26,21
173246,19,26,16
205381,13,26,11
123495,28,26,21
137694,26,26,22
251198,18,26,11
1016,1,1,0
1017,2,1,0
1018,2,3,1
1020,8,7,5
1022,1,1,0
1025,1,1,0
1026,1,1,0
1036,2,5,1
129263,10,5,1
1039,1,1,0
1050,1,1,0
1059,5,2,0
270587,5,2,0
1060,3,1,0
1065,1,2,0
1067,1,1,0
1072,1,1,0
1090,3,2,0
1098,1,1,0
1108,26,14,9
202559,14,14,8
1131,2,1,0
1133,2,2,0
1143,1,1,0
1145,1,4,0
1148,2,1,0
1150,2,2,1
1159,4,3,0
337684,4,1,0
1161,1,2,0
332258,4,2,0
1164,1,1,0
1166,1,1,0
1168,1,1,0
1173,2,4,0
1188,4,1,0
59559,4,1,0
1196,1,1,0
1202,2,5,0
1211,1,1,0
1213,1,1,0
1216,1,1,0
1217,1,1,0
1220,1,1,0
1223,41,51,25
303011,40,51,24
122494,43,51,25
262026,48,51,30
30415,49,51,48
227392,48,51,30
274231,29,51,25
93386,51,51,48
112874,24,51,23
127463,29,51,19
53077,41,48,40
56361,49,48,30
248095,25,48,18
385286,51,48,30
330654,43,48,40
75187,41,35,21
300895,38,35,10
362871,28,35,23
234812,27,35,23
109892,41,29,23
156539,33,29,19
15362,21,29,17
30059,41,29,23
35874,41,29,23
387500,28,29,19
88308,27,29,19
56562,22,29,2
162199,31,29,19
316231,31,29,19
160976,3,29,2
125248,41,48,40
14428,18,48,10
243140,41,48,40
111509,28,48,26
223553,50,48,30
216286,41,23,22
222738,40,23,22
299879,29,23,21
173084,28,23,21
272207,36,23,13
358683,40,23,22
244547,41,33,24
32463,48,33,26
61440,23,33,22
228739,43,33,24
263288,41,33,24
296265,41,24,23
227969,50,24,23
340774,51,24,23
292437,50,24,23
297945,41,41,39
364847,34,41,21
349324,33,41,24
10613,43,41,39
373130,21,41,17
23897,49,41,25
169500,41,41,39
322424,48,41,39
376952,29,41,23
38336,28,41,24
108229,43,41,39
292363,41,41,39
212272,34,41,26
248374,40,41,39
352965,41,29,21
124277,23,29,21
208731,27,29,22
1235,2,1,0
1242,1,1,0
1244,2,2,1
342783,2,2,1
1245,1,1,0
1252,1,1,0
1254,7,9,6
89911,7,9,6
1256,2,1,0
126919,2,10,0
345799,10,10,7
1261,3,1,0
1263,1,1,0
1271,2,2,1
1272,1,1,0
1273,1,1,0
1274,5,4,3
1278,3,1,0
190325,3,2,0
1279,3,1,0
90751,3,4,0
1285,1,1,0
1286,1,1,0
1288,1,1,0
1292,1,1,0
1294,25,23,22
347098,31,23,22
165565,31,23,22
183172,32,23,22
97547,23,23,22
340896,31,23,22
318259,33,23,22
25528,25,31,24
361182,31,31,30
379193,31,31,30
12882,33,31,25
306037,36,31,28
229530,23,31,22
258645,33,31,30
283094,31,31,30
1300,1,1,0
1303,1,1,0
1305,4,7,0
339524,4,1,0
1308,1,5,0
1311,1,1,0
1312,1,1,0
1316,1,1,0
1318,4,3,2
230874,4,3,2
1319,1,1,0
1329,1,1,0
1330,1,1,0
1334,3,5,1
1335,1,2,0
1337,5,1,0
1338,2,1,0
1341,8,5,0
173447,29,5,0
1363,5,16,4
100319,9,16,8
137456,9,16,8
190582,9,16,8
332169,1,16,0
347491,10,16,9
1366,2,1,0
1377,1,1,0
1387,14,15,13
123467,13,15,12
336350,7,15,6
401603,1,15,0
154578,14,13,12
166232,14,13,12
198180,14,13,12
359268,13,13,12
38080,13,13,12
91392,14,13,12
345228,13,13,12
223829,14,14,13
209447,13,14,12
196501,13,14,12
257925,14,13,12
13962,13,13,12
217230,14,13,12
1391,1,5,0
302281,1,5,0
1393,1,1,0
1395,5,1,0
228649,5,1,0
1396,4,1,0
1401,1,1,0
1405,2,1,0
1406,1,3,0
1419,1,1,0
1420,1,1,0
1427,1,1,0
1433,19,14,13
340014,21,14,13
41344,19,5,3
1435,1,1,0
1438,1,2,0
1439,1,2,0
349099,1,2,0
1442,1,1,0
1450,1,1,0
1451,1,2,0
1453,7,1,0
58214,7,2,0
192497,7,1,0
328136,7,2,0
1457,1,1,0
1462,1,2,0
1467,4,1,0
285358,4,10,0
1469,1,9,0
1471,30,12,7
248052,24,12,5
162443,30,10,7
119762,14,10,6
116548,20,10,7
164782,30,15,8
221975,3,15,1
256996,30,27,15
247996,27,27,16
263512,30,25,20
165084,12,25,6
219549,31,25,10
336416,20,25,13
1474,1,1,0
1489,1,1,0
1490,3,2,1
1494,3,1,0
1501,1,1,0
1507,1,1,0
1509,1,3,0
1510,8,5,0
1517,1,1,0
1519,1,1,0
1520,3,4,2
50346,3,4,2
1522,1,1,0
1524,1,1,0
1527,1,1,0
1528,1,1,0
1529,1,1,0
1534,2,1,0
1535,3,6,0
1552,1,6,0
1555,1,1,0
1556,1,1,0
1572,3,1,0
1581,3,5,0
1585,6,4,3
389843,6,4,3
1597,2,2,1
292971,2,2,1
1606,1,1,0
1609,1,4,0
318749,2,4,0
1633,15,5,4
74238,13,5,4
1637,21,33,15
9410,31,33,30
94049,21,33,18
95008,25,33,17
301857,29,33,22
159063,21,21,20
142943,36,21,20
82987,31,21,14
172099,21,21,20
283555,21,25,20
40445,35,25,21
201369,21,25,20
1652,1,1,0
1653,1,1,0
1654,1,1,0
1658,5,7,0
1660,3,1,0
156264,3,1,0
1662,1,1,0
1671,1,1,0
1683,1,1,0
1685,1,3,0
1687,3,3,2
1690,1,1,0
1692,2,2,0
1703,10,34,0
319145,5,34,0
71248,1,34,0
157346,12,34,0
338185,5,34,0
121750,1,34,0
242324,2,34,0
288333,1,34,0
336388,1,34,0
1705,1,1,0
1706,1,1,0
1718,2,1,0
1720,1,1,0
1726,2,1,0
1738,2,1,0
1740,4,6,3
173775,6,6,5
1743,2,1,0
1744,12,5,0
1751,14,15,13
112824,24,15,12
227923,12,15,11
42738,14,24,12
81949,1,24,0
157095,1,24,0
386409,1,24,0
1754,2,6,0
1763,1,1,0
1773,3,1,0
198771,3,2,0
1777,1,1,0
1781,4,4,0
226656,1,4,0
1783,1,4,0
250125,7,4,2
1784,1,4,0
1788,3,1,0
1789,2,2,1
1790,7,6,5
1794,2,4,0
1795,1,3,0
1798,1,1,0
1800,1,2,0
1803,1,1,0
1807,2,1,0
1813,1,1,0
1816,1,1,0
1818,1,1,0
1825,6,2,1
1826,1,1,0
1831,1,1,0
1839,2,2,1
105156,2,2,1
1859,2,1,0
1860,2,13,1
141935,5,13,0
230295,1,13,0
257504,3,13,2
1863,2,1,0
1872,1,1,0
1876,1,1,0
1902,1,1,0
1905,3,3,1
93392,2,3,0
1915,1,5,0
356189,1,5,0
1916,1,1,0
1917,1,1,0
1918,2,5,1
196334,2,5,0
1919,1,1,0
1928,1,1,0
1930,1,1,0
1934,1,1,0
1935,5,3,1
136994,5,7,1
38755,3,7,1
395882,5,7,3
226806,5,2,0
1943,6,7,3
1945,1,1,0
1946,1,1,0
1949,3,14,1
19735,3,14,1
288779,2,14,0
1954,1,1,0
1956,10,1,0
1961,11,10,9
299767,10,10,9
50482,11,12,10
201624,13,12,11
173322,11,13,9
14542,10,13,9
78527,13,13,11
1965,1,1,0
1973,1,1,0
1988,13,17,11
70529,21,17,16
163303,20,17,16
211865,21,17,16
165640,13,20,11
149559,21,20,16
284608,15,20,12
164476,3,20,2
246747,20,20,19
250923,4,20,3
396839,13,21,11
47066,15,21,12
1989,2,1,0
1990,1,2,0
2005,4,4,3
2010,12,12,11
68241,12,12,11
70753,12,12,11
355019,12,12,11
284029,12,12,11
2011,3,3,2
2017,3,1,0
302859,3,1,0
389098,3,1,0
2021,1,1,0
2023,1,1,0
2027,2,5,1
374441,15,32,12
324611,31,32,17
259220,23,32,18
310866,37,32,23
294521,33,32,17
120637,68,32,29
208426,28,32,19
293447,27,32,23
352319,21,32,17
400631,15,30,13
54805,27,30,11
67773,33,30,15
319816,38,30,21
126126,34,30,16
302979,17,30,10
2041,1,2,0
2042,1,1,0
2046,14,14,12
52350,14,14,12
91367,14,22,13
302567,14,15,13
376405,21,15,9
275340,23,15,14
2047,1,1,0
2049,3,1,0
2057,2,1,0
2070,18,1,0
258528,18,2,0
354525,1,2,0
328376,18,1,0
2075,3,1,0
397996,3,2,0
2080,12,10,9
210654,13,10,9
26402,12,19,7
51727,13,19,8
291824,12,9,8
267186,14,9,8
213136,11,9,7
297660,12,12,11
27650,11,12,10
371652,13,12,11
277944,19,12,7
2084,6,1,0
70602,6,5,3
242454,6,7,2
2089,1,2,0
2090,1,1,0
2091,1,1,0
2099,3,1,0
2102,1,1,0
2108,1,1,0
2119,1,1,0
2121,1,1,0
2133,1,5,0
347540,2,5,0
398696,1,5,0
2136,11,40,6
17835,32,40,21
366437,37,40,19
151821,38,40,24
86822,7,40,5
108423,5,40,2
147353,29,40,19
179538,29,40,22
2139,2,1,0
2143,41,30,24
12603,23,30,19
221119,24,30,17
339417,30,30,21
41050,41,18,14
281632,35,18,12
293879,17,18,11
195783,33,18,12
143500,28,18,12
45787,41,17,13
288163,35,17,13
330501,24,17,12
76977,30,17,12
141862,41,23,17
43762,17,23,10
184311,27,23,17
145215,30,23,21
137971,25,23,20
327660,36,23,21
249041,15,23,14
251244,27,23,20
206273,41,17,15
34413,35,17,15
210319,35,17,15
215952,41,5,0
231779,41,18,16
15106,30,18,15
254972,27,18,15
2145,3,2,0
2177,2,4,1
115571,1,4,0
2184,4,10,3
80611,3,10,0
330160,1,10,0
2186,2,2,1
204043,2,2,1
2193,1,1,0
2201,23,29,22
86906,19,29,17
219648,24,29,23
172291,18,29,17
200925,39,29,19
362683,24,29,23
403651,27,29,26
14382,23,20,16
11365,19,20,18
95544,24,20,17
129684,25,20,18
319759,18,20,15
177894,14,20,7
281966,23,27,22
52372,17,27,14
111729,26,27,23
319332,24,27,23
265350,20,27,17
402945,23,18,15
76580,4,18,2
207234,25,18,15
295829,20,18,16
2202,3,1,0
114888,3,1,0
338040,3,1,0
2203,4,6,2
2205,2,3,0
2226,2,2,0
2235,34,19,14
8459,29,19,11
203373,13,19,4
35122,34,29,23
389984,48,29,26
113328,34,29,9
198450,38,29,22
3999,33,29,5
112608,51,29,20
128989,51,29,20
322158,7,29,6
218647,34,23,22
335296,31,23,22
2248,1,3,0
2251,3,3,2
293015,4,3,2
2252,18,18,14
281453,20,18,17
302808,19,18,15
2254,1,1,0
2256,1,1,0
2263,2,1,0
2269,1,1,0
2273,1,2,0
2278,1,1,0
2287,6,7,5
347001,7,7,5
299206,6,9,3
19324,7,9,4
29519,8,9,3
376480,6,8,4
243254,9,8,7
2289,6,3,0
76560,6,1,0
147994,6,3,0
162326,4,3,0
2295,2,1,0
2300,2,1,0
2311,2,1,0
2321,1,1,0
2323,1,1,0
2325,1,1,0
2332,2,6,0
2333,15,1,0
270262,15,1,0
384651,15,13,1
290530,12,13,1
2338,2,2,1
2353,1,1,0
2354,3,1,0
2355,1,1,0
2359,1,3,0
2361,3,1,0
294297,3,1,0
2363,2,1,0
2372,1,1,0
2377,2,2,1
318534,2,2,1
2378,12,4,3
2386,1,1,0
2389,2,2,0
2390,2,2,1
2406,2,1,0
68253,2,1,0
2407,4,4,3
2408,1,1,0
2409,2,2,0
2418,1,1,0
2423,1,1,0
2424,35,7,6
47357,35,33,29
358037,35,33,29
73160,35,27,23
130507,23,27,17
219675,38,27,24
328183,28,27,18
392524,15,27,13
339251,35,27,22
12667,33,27,22
223074,35,27,23
242356,25,27,20
2431,1,1,0
2435,1,1,0
2440,1,1,0
2446,2,6,0
2453,2,2,1
2455,2,2,0
362189,2,7,0
2458,1,2,0
2465,1,9,0
15641,5,9,0
213437,1,9,0
2467,7,4,1
61588,4,4,2
2472,2,1,0
2474,1,1,0
2476,4,6,3
2477,1,3,0
2488,6,6,4
2500,1,1,0
2505,2,1,0
2506,1,1,0
2510,1,1,0
2511,1,2,0
256781,1,2,0
2513,9,9,8
115137,9,9,8
235280,9,10,8
66383,9,10,8
2515,3,1,0
2516,3,2,0
143482,1,2,0
2518,2,3,1
2527,2,2,0
2534,1,1,0
2536,1,1,0
2538,5,15,3
46379,11,15,7
158494,16,15,11
289068,5,15,3
2539,1,1,0
2542,20,22,18
299973,23,22,20
121763,21,22,18
35503,20,22,18
114320,20,21,19
113424,25,21,20
187738,20,23,18
30739,21,23,18
297218,21,23,19
189278,20,21,19
38203,20,21,19
221605,23,21,19
275874,21,21,19
333352,23,21,19
201346,20,21,18
151988,21,21,17
305883,20,20,18
107783,21,20,17
143509,19,20,14
360673,21,20,19
2557,1,1,0
2558,4,1,0
2560,1,1,0
2561,2,1,0
139235,2,1,0
2571,1,10,0
37552,4,10,0
268924,1,10,0
2575,1,1,0
2585,5,2,1
58058,5,4,3
29730,2,4,1
2586,11,4,0
324330,4,4,2
2590,1,1,0
2599,2,2,0
2601,2,1,0
2608,1,3,0
239049,1,3,0
2633,1,3,0
2634,3,3,0
2644,1,1,0
2648,4,8,3
79180,4,3,2
276329,4,4,3
2649,2,2,1
2653,19,24,17
108747,19,24,17
48350,19,23,16
12994,18,23,15
271411,18,23,16
313351,19,23,16
177308,18,23,16
130200,19,19,18
97895,18,19,17
261263,18,19,16
310645,19,15,12
84763,18,15,12
97078,24,15,12
204378,63,15,11
124951,19,15,12
207882,24,15,12
2657,7,4,2
10819,2,4,0
289506,6,4,2
2660,11,7,5
240405,11,7,5
142267,8,7,5
63627,11,6,5
2661,3,1,0
2662,2,2,1
2668,1,2,0
2679,1,1,0
2680,1,1,0
2685,2,2,1
2709,7,7,6
8747,7,7,6
138505,7,7,6
145158,7,7,6
231899,7,9,6
2710,1,1,0
2714,1,1,0
2719,1,1,0
2726,1,1,0
2733,3,3,0
9235,2,3,0
161910,3,1,0
2744,1,2,0
240796,1,2,0
2757,1,1,0
2758,1,6,0
2759,1,1,0
2762,1,1,0
2765,6,7,5
15273,5,7,4
193466,6,7,5
237246,6,6,4
2768,2,2,0
2771,1,1,0
2772,1,1,0
2779,24,38,20
173074,28,38,21
320394,38,38,37
36446,25,38,20
101908,21,38,18
130541,55,38,19
351027,50,38,19
232687,35,38,10
284223,20,38,18
64245,24,20,1
277340,50,20,16
277753,51,20,16
98535,51,20,17
152344,24,38,20
16632,38,38,37
235034,49,38,19
203767,24,21,18
382191,38,21,19
347141,18,21,4
97568,38,21,19
171816,38,21,19
269270,24,23,18
279928,28,23,21
52743,21,23,18
358932,6,23,5
2783,1,1,0
2794,1,3,0
2810,3,17,0
354222,14,17,12
67835,14,17,12
209488,5,17,0
2811,2,1,0
15795,2,1,0
2828,1,1,0
2830,1,1,0
2833,1,2,0
2834,3,5,2
2842,3,1,0
2857,1,1,0
2858,2,1,0
2861,4,3,2
36341,4,3,2
2862,6,3,0
16894,6,1,0
123843,6,1,0
2864,1,1,0
2867,2,1,0
2868,2,2,1
2874,2,2,1
218035,2,2,1
2877,1,1,0
2878,3,5,2
352066,4,5,2
2879,3,2,0
2883,28,25,24
75896,25,25,24
224259,32,25,24
102824,28,25,24
173666,28,25,24
48185,28,25,24
177219,29,25,23
45693,42,25,23
214886,32,25,24
317066,25,25,24
352934,27,25,24
52853,28,25,23
131168,29,25,24
240305,28,25,24
95262,28,42,23
53033,28,42,23
227702,2,42,1
133470,1,42,0
296019,1,42,0
355656,1,42,0
157002,28,28,25
82701,29,28,25
48434,28,28,25
284058,28,28,25
385203,28,28,25
302485,28,23,22
200398,28,23,22
45765,29,23,22
119108,30,23,22
348210,27,23,22
323448,28,27,23
307439,28,27,23
58690,30,27,24
220237,28,27,24
324297,10,27,2
2889,20,23,18
345890,21,23,18
90308,19,23,17
340034,20,21,19
297502,21,21,19
2891,6,7,4
298598,2,7,0
240589,6,4,3
345768,7,4,3
2919,4,7,3
2925,4,2,1
2939,5,3,2
2947,1,1,0
2951,1,1,0
2960,1,1,0
2961,1,1,0
2963,11,16,8
5331,19,16,15
81944,17,16,15
2977,1,1,0
2994,7,3,2
2995,1,1,0
3005,4,1,0
308493,4,1,0
3012,1,3,0
3017,1,1,0
3018,1,1,0
3020,1,1,0
3032,1,1,0
3033,2,2,1
3034,1,11,0
19308,1,11,0
63504,4,11,3
3035,1,2,0
3041,8,2,1
234852,8,7,6
248953,16,7,5
3053,5,6,1
45090,5,6,1
233946,5,9,1
3061,18,16,15
86507,18,16,15
15409,18,16,15
126523,19,16,15
99247,18,18,17
78665,19,18,17
399561,18,16,15
271543,19,16,15
3070,1,2,0
3074,1,1,0
3076,39,48,31
3112,28,48,21
117105,47,48,45
369893,36,48,27
335793,42,48,32
124614,45,48,34
242520,32,48,29
348934,43,48,33
106721,41,48,32
115042,39,44,38
147797,41,44,39
30466,41,44,39
144831,47,44,33
363869,47,44,39
67046,43,44,39
119857,39,42,38
6563,47,42,31
370742,36,42,28
210434,42,42,30
63041,47,42,31
256334,46,42,39
132679,46,42,31
366402,40,42,38
143184,39,42,30
128645,40,42,27
154631,22,42,19
77072,41,42,30
269264,39,34,26
302922,41,34,27
225216,41,34,27
3077,1,1,0
3085,4,16,2
281912,1,16,0
63232,4,6,2
294725,16,6,3
3086,16,16,11
